state,total_population,male_population,female_population,age_under15years,age_15and19years,age_20and24years,age_25and44years,age_45and54years,age_55and64years,age_65and74years,age_75andOlder,race_white,race_black,race_american_indian,race_asian,race_hawaiian,race_other,race_two_or_more,income_Less_than10k,income_10k_to_19999k,income_20k_to_29999k,income_30k_to_39999k,income_40k_to_49999k,income_50k_to_59999k,income_60k_to_74999k,income_75k_to_99999k,income_100k_to_124999k,income_125k_to_149999k,income_150k_to_199999k,income_200k_or_more,education_less_than_highschool,education_highschool,education_some_college_associate,education_bachelors_or_higher,employment_employed,employment_unemployed,employment_armed_forces,employment_not_in_labor_force
AK,710231,360688,337785,473576,23263,104871,38135,7409,11102,51875,155699,52141,54419,196099,111026,85909,35350,19588,9801,15723,18835,19716,22084,18631,26897,38354,26161,15154,14104,11137,37072,119495,160076,114535,333464,34874,14391,153278
AL,4779736,2280784,2427924,3275394,1251311,28218,53595,3057,96910,71251,932841,343471,335322,1228423,693854,588033,370501,287291,201765,270992,231088,210398,180757,146422,167427,192497,106449,54623,46270,39363,557565,966912,904962,686543,1986034,247536,23876,1451328
AR,2915918,1413505,1475945,2245229,449895,22248,36102,5863,99571,57010,592125,203805,199650,742100,407266,350991,234602,185379,120726,175881,160258,133154,113403,95104,101643,100513,57084,26269,20984,19928,335417,662671,546893,358933,1245923,125305,8479,879954
AZ,6392017,3307075,3288703,4667121,259008,296529,176695,12648,761716,218300,1358059,461582,442584,1679187,842546,726228,497892,383939,176945,248132,267882,245947,227818,192893,242445,274108,163741,91858,75970,69126,672320,1057329,1432829,1085753,2795318,333182,20906,1897434
CA,37253956,18517377,18444287,21453934,2299072,362801,4861007,144386,6317372,1815384,7628102,2823940,2765949,10500587,5252371,4036493,2275336,1971178,695403,1232937,1186065,1108669,1039666,948345,1206377,1547756,1085712,693943,748264,721754,4609666,4979576,7082418,7110449,16454578,2086740,161303,9920091
CO,5029196,2529083,2495665,4089202,201737,56010,139028,6623,364140,172456,1025217,339475,348615,1425922,742698,597644,309960,239665,128321,185759,188417,184539,176920,158819,201706,252161,165773,95643,93588,78500,351496,743807,1016471,1181594,2480113,230535,33668,1183627
CT,3574097,1716182,1802106,2772410,362296,11256,135565,1428,198466,92676,664942,250834,227898,904815,575597,443452,254944,251615,78653,106810,111729,102111,103117,95621,133968,176454,136585,84884,92058,104339,271097,667775,587654,843502,1740760,176986,7291,882532
DC,601723,281649,318008,231471,305125,2079,21056,302,24374,17316,83801,39919,64110,205404,75703,63977,36969,31840,28804,21911,18686,21085,17792,17590,20622,27231,18769,13547,18108,25135,53317,82834,76863,200382,293927,36680,2283,165845
DE,897934,428865,456257,618617,191814,4181,28549,400,30519,23854,169220,64583,62867,227504,133554,110929,72453,56824,17477,29438,35057,31976,28848,30582,35166,43741,28295,18017,16072,12583,75068,185594,163380,171091,417673,39329,4547,240863
FL,18801310,9111329,9426640,14109162,2999862,71458,454821,12286,681144,472577,3284608,1228382,1228758,4720799,2741493,2337668,1727940,1531662,558840,859063,881067,834170,727151,583638,704962,747850,429354,231761,214297,215494,1884001,3863394,3819835,3233714,7995087,1098568,68344,5781535
